CustomerID,SignupDate,Gender,SeniorCitizen,Partner,TenureMonths,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-1000,2023-08-02,Male,0,No,5,Month-to-month,No,  Electronic check ,58.33,278.09,Yes
CUST-1001,2022-05-03,Female,0,Yes,20,Month-to-month,Yes,  Electronic check ,66.29,1302.12,Yes
CUST-1002,2022-04-03,Female,0,Yes,21,Month-to-month,No,  Electronic check ,39.67,832.86,Yes
CUST-1003,2019-03-05,Female,0,Yes,58,Month-to-month,Yes,  Mailed check ,97.84,5668.25,Yes
CUST-1004,2021-06-03,Male,0,Yes,31,Month-to-month,No,  Bank transfer ,83.63,2581.37,Yes
CUST-1005,2023-02-01,Male,0,No,11,Month-to-month,Yes,  Electronic check ,119.35,1291.0,Yes
CUST-1006,2019-09-04,Male,0,No,52,One year,Yes,  Electronic check ,40.41,2110.91,No
CUST-1007,2022-10-02,Female,0,Yes,15,Month-to-month,No,  Credit card ,54.42,865.91,Yes
CUST-1008,2023-06-03,Female,0,Yes,7,Month-to-month,Yes,  Electronic check ,71.48,504.56,Yes
CUST-1009,2021-09-02,Female,0,No,28,Month-to-month,No,  Electronic check ,83.1,2356.68,Yes
CUST-1010,2019-10-04,Male,0,Yes,51,Two year,No,  Credit card ,58.96,2965.25,No
CUST-1011,2019-03-05,Prefer not to say,0,Yes,58,One year,Yes,  Electronic check ,40.56,2357.21,No
CUST-1012,2023-08-02,Female,0,Yes,5,One year,Yes,  Electronic check ,89.68,415.48,Yes
CUST-1013,2023-08-02,Male,0,No,5,Month-to-month,Yes,  Mailed check ,85.19,381.64,Yes
CUST-1014,2023-05-03,Male,1,No,8,One year,Yes,  Electronic check ,39.34,292.54,No
CUST-1015,2018-09-04,Male,1,Yes,64,Month-to-month,No,  Bank transfer ,102.95,6624.56,Yes
CUST-1016,2023-03-03,Male,0,Yes,10,One year,No,Credit card,97.77,1006.2,No
CUST-1017,2020-11-02,Female,0,No,38,Two year,No,Electronic check,68.76,2620.17,No
CUST-1018,2023-05-03,Male,0,No,8,One year,No,Bank transfer,67.23,491.86,No
CUST-1019,2021-12-02,Male,0,Yes,25,Two year,Yes,Mailed check,80.51,2006.86,No
CUST-1020,2018-07-05,Female,0,No,66,One year,No,Electronic check,40.87,2706.47,No
CUST-1021,2019-11-03,Male,0,Yes,50,Month-to-month,No,Bank transfer,65.84,3297.27,No
CUST-1022,2018-06-05,Male,0,Yes,67,Two year,No,Electronic check,18.0,1150.69,No
CUST-1023,2019-12-04,Male,0,No,49,Month-to-month,No,Mailed check,89.54,,Yes
CUST-1024,2021-01-02,Male,0,Yes,36,Month-to-month,Yes,Electronic check,21.28,764.16,No
CUST-1025,2018-05-05,Female,0,No,68,Month-to-month,No,Mailed check,107.1,7298.89,No
CUST-1026,2020-08-03,Male,0,Yes,41,Month-to-month,Yes,Electronic check,55.76,,No
CUST-1027,2018-11-04,Female,0,Yes,62,Month-to-month,Yes,Credit card,59.07,,No
CUST-1028,2023-03-03,Female,0,No,10,Month-to-month,Yes,Electronic check,47.42,478.49,Yes
CUST-1029,2022-04-03,Male,0,Yes,21,Month-to-month,No,Mailed check,,1221.02,Yes
CUST-1030,2021-01-02,Female,0,No,36,One year,No,Mailed check,104.72,3790.71,No
CUST-1031,2023-01-02,Male,1,Yes,12,Month-to-month,No,Bank transfer,,233.48,Yes
CUST-1032,2023-11-02,Male,0,Yes,2,Month-to-month,No,Bank transfer,100.76,177.52,Yes
CUST-1033,2022-12-02,Female,0,Yes,13,One year,Yes,Bank transfer,74.46,910.74,No
CUST-1034,2019-08-04,Prefer not to say,0,No,53,Month-to-month,No,Bank transfer,31.2,1641.81,No
CUST-1035,2021-05-04,Female,0,,32,One year,Yes,Credit card,34.89,1146.53,No
CUST-1036,2022-09-02,Male,0,No,16,One year,Yes,Electronic check,111.94,1832.84,No
CUST-1037,2021-05-04,Male,0,Yes,32,Two year,Yes,Mailed check,38.53,1254.28,No
CUST-1038,2021-05-04,Female,0,No,32,One year,No,Credit card,32.71,1059.6,No
