OrderID,OrderDate,Region,Category,Product,CustomerSegment,SalesChannel,UnitsSold,UnitPrice,Revenue,Cost,Profit,CustomerSatisfaction
ORD-50000,2022-01-01,Europe,Apparel,Merino Sweater,Enterprise,Organic Search,1,110.82,110.82,87.01,23.81,4.6
ORD-50001,2022-01-02,Europe,Electronics,Noise-Cancelling Headphones,SMB,Organic Search,2,251.31,502.61,260.86,241.75,3.8
ORD-50002,2022-01-02,North America,Home & Office,Desk Lamp,Consumer,Direct Web,3,62.9,188.71,123.08,65.63,4.2
ORD-50003,2022-01-03,North America,Electronics,Pro Laptop,SMB,Organic Search,3,1178.78,3536.33,2773.74,762.59,4.7
ORD-50004,2022-01-03,Europe,Electronics,Noise-Cancelling Headphones,Enterprise,Affiliate,2,250.14,500.28,234.73,265.55,5.0
ORD-50005,2022-01-03,Asia-Pacific,Apparel,Performance Jacket,SMB,Direct Web,1,161.37,161.37,118.44,42.93,3.0
ORD-50006,2022-01-04,North America,Electronics,Pro Laptop,Consumer,Affiliate,2,1144.77,2289.53,1831.38,458.15,4.7
ORD-50007,2022-01-08,Asia-Pacific,Electronics,Noise-Cancelling Headphones,SMB,Paid Ads,1,257.43,257.43,178.36,79.07,4.8
ORD-50008,2022-01-11,Asia-Pacific,Home & Office,Ergonomic Chair,Enterprise,Paid Ads,4,342.04,1368.18,740.99,627.19,4.8
ORD-50009,2022-01-12,North America,Apparel,Merino Sweater,SMB,Direct Web,3,109.41,328.24,182.21,146.03,5.0
ORD-50010,2022-01-12,Europe,Beauty & Care,Mineral Sunscreen,Consumer,Direct Web,2,30.88,61.76,30.97,30.79,4.3
ORD-50011,2022-01-14,North America,Electronics,Smart Watch,SMB,Organic Search,1,311.02,311.02,145.13,165.89,5.0
ORD-50012,2022-01-16,North America,Home & Office,Standing Desk,Consumer,Organic Search,1,600.38,600.38,382.32,218.06,3.3
ORD-50013,2022-01-18,Asia-Pacific,Apparel,Classic Tee,Consumer,Direct Web,2,35.37,70.74,46.07,24.67,3.7
ORD-50014,2022-01-19,Latin America,Electronics,Ultra HD Monitor,Enterprise,Paid Ads,8,461.65,3693.18,2547.83,1145.35,4.6
ORD-50015,2022-01-20,North America,Electronics,Noise-Cancelling Headphones,SMB,Direct Web,1,254.6,254.6,140.72,113.88,3.6
ORD-50016,2022-01-21,North America,Apparel,Merino Sweater,SMB,Organic Search,1,114.57,114.57,61.75,52.82,5.0
ORD-50017,2022-01-22,Europe,Electronics,Pro Laptop,Consumer,Affiliate,3,1224.29,3672.88,2295.94,1376.94,4.5
ORD-50018,2022-01-23,Asia-Pacific,Electronics,Pro Laptop,Enterprise,Paid Ads,2,1188.25,2376.5,1833.83,542.67,5.0
ORD-50019,2022-01-24,North America,Electronics,Smart Watch,Enterprise,Direct Web,1,308.84,308.84,149.33,159.51,3.4
ORD-50020,2022-01-24,Europe,Apparel,Merino Sweater,SMB,Direct Web,2,111.15,222.3,124.04,98.26,3.6
ORD-50021,2022-01-26,Europe,Home & Office,Desk Lamp,Enterprise,Direct Web,1,65.03,65.03,31.24,33.79,4.5
ORD-50022,2022-01-28,North America,Home & Office,Desk Lamp,Consumer,Organic Search,1,62.6,62.6,39.19,23.41,3.7
ORD-50023,2022-01-29,North America,Electronics,Noise-Cancelling Headphones,SMB,Affiliate,1,247.15,247.15,111.88,135.27,5.0
ORD-50024,2022-01-29,North America,Beauty & Care,Serum Pack,SMB,Direct Web,8,82.68,661.43,336.13,325.3,3.3
ORD-50025,2022-01-29,Latin America,Electronics,Noise-Cancelling Headphones,Consumer,Affiliate,1,262.42,262.42,156.71,105.71,5.0
ORD-50026,2022-01-31,Europe,Apparel,Classic Tee,Consumer,Affiliate,1,36.2,36.2,16.49,19.71,3.3
ORD-50027,2022-01-31,Europe,Beauty & Care,Serum Pack,SMB,Paid Ads,2,84.91,169.81,83.62,86.19,4.4
ORD-50028,2022-02-01,Asia-Pacific,Beauty & Care,Hydration Cream,SMB,Paid Ads,8,47.23,377.84,240.04,137.8,4.9
ORD-50029,2022-02-03,Europe,Home & Office,Coffee Maker,Enterprise,Paid Ads,2,175.72,351.43,258.41,93.02,4.0
ORD-50030,2022-02-03,Latin America,Electronics,Ultra HD Monitor,Enterprise,Affiliate,2,454.23,908.46,432.4,476.06,4.5
ORD-50031,2022-02-04,Asia-Pacific,Beauty & Care,Mineral Sunscreen,Consumer,Organic Search,2,31.35,62.69,35.11,27.58,3.7
ORD-50032,2022-02-05,Europe,Home & Office,Coffee Maker,Consumer,Paid Ads,3,182.49,547.47,431.83,115.64,4.4
ORD-50033,2022-02-06,North America,Electronics,Pro Laptop,Consumer,Paid Ads,3,1161.8,3485.4,1638.74,1846.66,4.0
ORD-50034,2022-02-07,Latin America,Home & Office,Ergonomic Chair,SMB,Affiliate,2,341.59,683.18,531.67,151.51,3.0
ORD-50035,2022-02-07,North America,Home & Office,Coffee Maker,Consumer,Paid Ads,4,178.15,712.59,403.06,309.53,4.7
ORD-50036,2022-02-08,Asia-Pacific,Home & Office,Standing Desk,Enterprise,Direct Web,2,576.1,1152.2,675.27,476.93,3.9
ORD-50037,2022-02-12,Asia-Pacific,Beauty & Care,Mineral Sunscreen,Enterprise,Paid Ads,4,31.74,126.96,70.54,56.42,4.2
ORD-50038,2022-02-12,Europe,Electronics,Ultra HD Monitor,Consumer,Direct Web,1,456.52,456.52,218.93,237.59,3.9
ORD-50039,2022-02-13,Latin America,Electronics,Ultra HD Monitor,Consumer,Direct Web,2,433.07,866.14,472.99,393.15,5.0
ORD-50040,2022-02-14,North America,Beauty & Care,Face Cleanser,Consumer,Organic Search,1,28.27,28.27,17.46,10.81,4.7
ORD-50041,2022-02-14,North America,Electronics,Noise-Cancelling Headphones,Enterprise,Direct Web,1,260.86,260.86,145.59,115.27,3.4
ORD-50042,2022-02-14,Asia-Pacific,Electronics,Pro Laptop,Consumer,Organic Search,1,1199.35,1199.35,572.8,626.55,3.9
ORD-50043,2022-02-15,Asia-Pacific,Electronics,Ultra HD Monitor,Consumer,Direct Web,1,456.48,456.48,210.54,245.94,5.0
ORD-50044,2022-02-15,North America,Home & Office,Desk Lamp,SMB,Organic Search,3,63.97,191.9,90.16,101.74,4.2
ORD-50045,2022-02-16,North America,Beauty & Care,Face Cleanser,SMB,Affiliate,5,27.74,138.7,69.35,69.35,4.5
ORD-50046,2022-02-16,Europe,Beauty & Care,Serum Pack,SMB,Direct Web,2,87.98,175.96,139.72,36.24,4.7
ORD-50047,2022-02-16,North America,Electronics,Noise-Cancelling Headphones,SMB,Organic Search,3,249.37,748.11,412.44,335.67,4.1
ORD-50048,2022-02-19,Asia-Pacific,Beauty & Care,Face Cleanser,SMB,Direct Web,1,27.06,27.06,20.16,6.9,3.0
ORD-50049,2022-02-19,Europe,Home & Office,Ergonomic Chair,Enterprise,Paid Ads,1,354.44,354.44,201.04,153.4,5.0
ORD-50050,2022-02-20,Europe,Home & Office,Desk Lamp,SMB,Paid Ads,1,62.47,62.47,28.24,34.23,3.8
ORD-50051,2022-02-21,Europe,Home & Office,Ergonomic Chair,Consumer,Paid Ads,1,348.76,348.76,271.69,77.07,4.4
ORD-50052,2022-02-22,North America,Home & Office,Standing Desk,SMB,Organic Search,8,629.01,5032.09,3129.15,1902.94,4.7
ORD-50053,2022-02-23,North America,Beauty & Care,Serum Pack,Enterprise,Direct Web,1,85.26,85.26,40.37,44.89,4.5
