PropertyID,SaleDate,Neighborhood,SqftLiving,Bedrooms,Bathrooms,YearBuilt,Garage,GarageCars,LotSizeAcres,SalePrice,column asaihn
PROP-20000,2022-09-10,Suburbs,18500,3,1.7,1971,Yes,1.0,0.33,652000.0,
PROP-20001,2023-10-10,West End,1591,2,1.9,2017,Yes,3.0,0.77,423600.0,
PROP-20002,2022-11-10,Suburbs,3496,5,3.9,1978,Yes,2.0,0.21,859100.0,
PROP-20003,2022-11-03,Downtown,991,2,1.4,1985,No,0.0,0.25,278800.0,
PROP-20004,2022-09-09,Suburbs,4395,6,4.6,1968,Yes,2.0,0.6,1035700.0,
PROP-20005,2022-05-07,Downtown,978,2,1.8,1995,Yes,3.0,0.52,309800.0,
PROP-20006,2023-09-30,North Hills,2967,5,3.8,1982,Yes,2.0,1.16,772800.0,
PROP-20007,2023-09-24,Riverside,1209,1,1.1,2012,No,0.0,0.16,308200.0,
PROP-20008,2022-10-07,Riverside,1958,3,2.6,1964,Yes,1.0,1.09,548100.0,
PROP-20009,2023-11-20,Suburbs,3772,6,4.8,1977,Yes,3.0,0.11,920200.0,
PROP-20010,2023-05-19,West End,3119,5,3.4,1981,Yes,3.0,1.96,851000.0,
PROP-20011,2022-12-19,Suburbs,2261,4,2.5,1986,Yes,2.0,0.1,624900.0,
PROP-20012,2023-12-28,Suburbs,867,1,1.0,2014,Yes,3.0,0.37,247600.0,
PROP-20013,2023-07-12,Downtown,839,1,1.0,2000,No,0.0,0.66,196900.0,
PROP-20014,2022-11-29,West End,3253,5,4.1,1962,Yes,3.0,0.45,825000.0,
PROP-20015,2022-08-23,West End,3990,6,4.9,2022,No,0.0,0.46,1021800.0,
PROP-20016,2023-07-13,Riverside,821,2,1.5,1961,No,0.0,0.79,212000.0,
PROP-20017,2023-07-13,North Hills,1564,2,1.6,2010,Yes,2.0,0.43,382700.0,
PROP-20018,2022-06-03,Downtown,4244,6,4.0,2002,Yes,3.0,0.27,1036400.0,
PROP-20019,2023-08-09,Riverside,899,1,1.0,1960,Yes,3.0,0.48,241800.0,
PROP-20020,2022-08-30,Downtown,1260,3,2.0,2018,Yes,2.0,0.11,412800.0,
PROP-20021,2022-08-13,Downtown,1949,3,2.3,1980,Yes,1.0,0.11,519300.0,
PROP-20022,2022-11-07,Riverside,3725,6,4.7,2001,Yes,2.0,0.75,882600.0,
PROP-20023,2023-09-11,Suburbs,2521,4,2.6,1967,No,0.0,0.16,552800.0,
PROP-20024,2023-10-10,West End,1052,2,1.5,1972,Yes,3.0,0.59,376800.0,
PROP-20025,2023-01-09,North Hills,2005,4,3.4,1974,Yes,1.0,1.01,543000.0,
PROP-20026,2022-04-05,West End,1013,1,1.0,1982,Yes,,0.27,317200.0,
PROP-20027,2023-09-14,Riverside,3985,6,4.1,1979,Yes,2.0,0.24,959800.0,
PROP-20028,2022-12-09,Riverside,2207,3,2.5,2010,Yes,1.0,1.1,649500.0,
PROP-20029,2022-12-09,Suburbs,4483,6,4.7,1961,No,0.0,0.16,1061200.0,
PROP-20030,2022-12-12,Suburbs,1327,2,1.4,1981,Yes,3.0,0.29,350800.0,
PROP-20031,2022-05-02,Suburbs,2487,3,2.0,1986,No,0.0,0.15,525200.0,
PROP-20032,2022-01-06,Downtown,3820,4,3.0,2000,Yes,1.0,0.22,979800.0,
PROP-20033,2022-03-20,Suburbs,3496,5,4.4,2003,Yes,1.0,1.47,891700.0,
PROP-20034,2022-08-15,West End,1525,2,1.4,1980,Yes,2.0,0.59,443300.0,
PROP-20035,2023-02-22,West End,2388,4,2.8,1973,Yes,3.0,0.71,625900.0,
PROP-20036,2023-01-02,North Hills,1495,2,1.6,1974,Yes,3.0,0.3,455600.0,
PROP-20037,2023-03-14,North Hills,3724,5,3.7,1961,Yes,2.0,0.21,844200.0,
PROP-20038,2022-06-18,West End,1041,2,1.7,1963,Yes,1.0,0.18,334200.0,
PROP-20039,2022-11-28,Riverside,1665,4,2.5,2001,No,0.0,,487200.0,
PROP-20040,2022-06-08,Downtown,1359,2,1.9,2012,Yes,1.0,0.28,340900.0,
PROP-20041,2023-07-22,Riverside,3686,6,4.6,1974,Yes,3.0,,954500.0,
PROP-20042,2023-03-09,West End,909,2,2.0,1974,Yes,1.0,0.3,299400.0,
PROP-20043,2022-01-22,Suburbs,860,1,1.0,1983,Yes,3.0,0.41,211500.0,
PROP-20044,2022-12-06,Riverside,3858,5,3.9,1974,Yes,1.0,0.15,942300.0,
PROP-20045,2022-07-20,West End,4153,6,4.3,2007,Yes,2.0,0.21,1050600.0,
PROP-20046,2023-02-01,North Hills,2474,3,1.9,2005,Yes,3.0,0.66,587300.0,
PROP-20047,2022-09-05,West End,2109,2,1.6,1965,No,0.0,0.19,504500.0,
PROP-20048,2022-10-12,Suburbs,1719,3,2.2,1983,Yes,1.0,0.78,475100.0,
PROP-20049,2022-07-20,Suburbs,2087,5,3.6,1968,Yes,3.0,0.55,592900.0,
